title,page_title,type_main,type_sub,faction,grade,grade_raw,grade_sort,inner_property,positive_effect_raw,negative_effect_raw,effect_summary_raw,effect_tags,effect_tags_fine,recommend_path_lv1,recommend_path_lv2,recommend_path_lv3,build_bucket_lv1,build_bucket_lv2,build_bucket_source,build_bucket_confidence,requirement_attr_raw,requirement_attainment_raw,performance_note_raw,sources,confidence,notes
实意法,功法/实意法,内功,,然山派,7,上·七品,3,紫霞,"当运用者的内力属性为「紫霞」时，降低「归元」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层","当运用者的内力属性为「紫霞」时，降低「金刚」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层",实意法讲究静心远虑，无为而求，精神固守，内视反听，修习者思之太虚，待神往来，可使五脏和通，可知阴阳造化。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"根骨：25
悟性：105","内功造诣：200
术数造诣：160
杂学造诣：160",,功法/实意法,high,目录外功法
铁鼎金身功,功法/铁鼎金身功,内功,,狮相门,7,上·七品,3,金刚,"减少运用者身体上的每个部位最多出现的破绽数量
运用者所有部位的破绽详见封穴与破绽详解层数上限-1层","大幅减少运用者身体上的每个部位最多出现的破绽数量，但如果运用者至少出现了3个破绽，运用者造成的直接外伤也会降低
运用者所有部位的破绽详见封穴与破绽详解层数上限-2层
但如果运用者的破绽合计超过3层，运用者造成直接外伤的伤害分数-30%加成",但如果运用者的破绽合计超过3层，运用者造成直接外伤的伤害分数-30%加成}},威力|命中|持续,直伤|控制|封穴联动|破绽联动,,,,内功,直伤类,inferred,medium,体质：160,内功造诣：200,,功法/铁鼎金身功,high,目录外功法
望舒御月功,功法/望舒御月功,内功,,璇女派,7,上·七品,3,玄阴,"运用者的「玄阴」类功法会对内力属性为「纯阳」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层","运用者的「玄阴」类功法会对内力属性为「归元」的人物造成更多直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算提高30%[同源增益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度提高1层",日称太阳，月为太阴。望舒御月功化象于表，凝神于中，藏阴于内，成功于外，修习者常觉终日清凉，不为阴气所伤。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"灵敏：75
悟性：55","内功造诣：200
绘画造诣：160
道法造诣：160",,功法/望舒御月功,high,目录外功法
东壁十二卷书,功法/东壁十二卷书,内功,,界青门,7,上·七品,3,玄阴,"当运用者的内力属性为「玄阴」时，降低「纯阳」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层","当运用者的内力属性为「玄阴」时，降低「归元」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层",“东壁图书府，西园翰墨林”。东壁十二卷书详述阴阳循环、五行生克之道，理极幽玄，文辞浅近，相传乃是先贤从壁星运行中悟得。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"灵敏：60
悟性：70","内功造诣：200
术数造诣：200",,功法/东壁十二卷书,high,目录外功法
甲乙全篇,功法/甲乙全篇,内功,,百花谷,7,上·七品,3,混元,"减少运用者身体上的每个部位最多可被封闭的穴道数量
运用者所有部位的封穴详见封穴与破绽详解层数上限-1层","大幅减少运用者身体上的每个部位最多可被封闭的穴道数量，但如果运用者至少被封闭了3个穴道，运用者造成的直接内伤也会降低
运用者所有部位的封穴详见封穴与破绽详解层数上限-2层
但如果运用者的封穴详见封穴与破绽详解合计超过3层，运用者造成直接内伤的伤害分数-30%加成","|逆=**运用者所有部位的{{tooltip|封穴|详见[[旧/点穴与破绽|封穴与破绽详解]]}}层数上限-2层
但如果运用者的{{tooltip|封穴|详见[[旧/点穴与破绽|封穴与破绽详解]]}}合计超过3层，运用者造成直接内伤的伤害分数-30%加成}}",威力|命中|持续,直伤|控制|封穴联动|破绽联动,,,,内功,直伤类,inferred,medium,"定力：65
悟性：65","内功造诣：200
医术造诣：200",,功法/甲乙全篇,high,目录外功法
邪鬼功,功法/邪鬼功,内功,,血犼教,7,上·七品,3,归元,"当运用者的内力属性为「归元」时，降低「玄阴」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层","当运用者的内力属性为「归元」时，降低「紫霞」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层",反正为邪，散形为鬼。邪鬼功能以恶鬼之邪气养生人之神魂，令修习者精神离形，散而为变，宛如野鬼一般魂游魄散，各归其真。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"膂力：80
根骨：50","内功造诣：200
毒术造诣：160
杂学造诣：160",,功法/邪鬼功,high,目录外功法
五金佳兵篇,功法/五金佳兵篇,内功,,铸剑山庄,7,上·七品,3,纯阳,"当运用者的内力属性为「纯阳」时，降低「金刚」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层","当运用者的内力属性为「纯阳」时，降低「玄阴」类功法对运用者造成的直接伤害、反噬伤害
功法伤害的伤害分数判定伤势程度的指标，详见命中与伤害计算降低30%[同源减益]详见加值、加成、修正与同源增/减益，反噬伤害的伤势程度降低1层",五金者，天下之金也；佳兵，犹言坚兵。五金佳兵篇以五行生克之理详解了各类金铁的性质、兵器的制法，能令修习者心手相应，运用自如。,威力|反噬|命中|真气|持续,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,"体质：90
悟性：40","内功造诣：200
锻造造诣：120
制木造诣：120
织锦造诣：120
巧匠造诣：120",,功法/五金佳兵篇,high,目录外功法
妖心示显,功法/妖心示显,内功,,无门无派,6,奇·六品,4,混元,敌人的「心情」越愉悦或越痛苦，妖心示显的破体、破气就提高越多,敌人的「心情」越愉悦或越痛苦，妖心示显的破体、破气就提高越多,乱念搜魂，妖心难掩……,破体,直伤,,,,内功,直伤类,inferred,medium,,,,功法/妖心示显,high,目录外功法
少阴一明珏,功法/少阴一明珏,内功,,璇女派,6,奇·六品,4,玄阴,"大幅增加运用者的「根骨」上限，「根骨」所增加的御气会根据运用者的精纯大幅提高
根骨上限增加30[加值]","大幅增加运用者的「根骨」上限，「根骨」所增加的破气会根据运用者的精纯大幅提高
根骨消耗降低30%[加成]",三阴离合，少阴为枢。少阴一明珏以阴成形，化育真神，功成者可散去周身热力而通诸经脉，乃至心息相依，杂念全无。,威力|减耗|破体,直伤|资源|减耗,内功,直伤类,,内功,直伤类,recommendation_page,high,"根骨：85
悟性：60","内功造诣：250
绘画造诣：200
道法造诣：200",,功法/少阴一明珏|前期功法推荐,high,
蛟蛰四法,功法/蛟蛰四法,内功,,空桑派,6,奇·六品,4,归元,"大幅增加运用者的「体质」上限，「体质」所增加的御体会根据运用者的精纯大幅提高
「体质」上限加值增加30，且御体[面板]加值增加「体质」*精纯/4[加值]","大幅增加运用者的「体质」上限，「体质」所增加的破体会根据运用者的精纯大幅提高
「体质」上限加值增加30，且破体[面板]加值增加「体质」*精纯/4[加值]",“龙蛇之蛰，以存身也；精义入神，以致用也”。蛟蛰四法效仿蛟龙蛰伏之姿，能助修习者养气存精，凝神绝虑，胎息固守，延年益寿。,威力|破体,直伤,内功,直伤类,,内功,直伤类,recommendation_page,high,"体质：40
根骨：40
悟性：65","内功造诣：250
医术造诣：200
毒术造诣：200",,功法/蛟蛰四法|前期功法推荐,high,
浑元无相功,功法/浑元无相功,内功,,元山派,5,秘·五品,5,归元,运用者的「混元」类功法也会被视为「归元」类功法；运用者可在施展「归元」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「奇窍」真气，增加「归元」类摧破功法的攻击范围,运用者的「混元」类功法也会被视为「归元」类功法；运用者可在施展「归元」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「奇窍」真气，使该功法对敌人造成的直接伤害不会因状态效果降低,“天无形，而万物以成；至精无象，而万物以化”。浑元无相功无形无相，执虚如盈，修习者不滞于物，不困于心，故能见实法惟一，真如不二。,破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"定力：80
体质：80","内功造诣：300
道法造诣：240
佛学造诣：240",,功法/浑元无相功,high,目录外功法
九龙归一功,功法/九龙归一功,内功,,伏龙坛,4,极·四品,6,纯阳,"运用者的「混元」类功法也会被视为「纯阳」类功法；运用者可在施展「纯阳」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「摧破」真气，增加「纯阳」类摧破功法的攻击范围
需要校对","运用者的「混元」类功法也会被视为「纯阳」类功法；运用者可在施展「纯阳」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「摧破」真气，使该功法对敌人造成的直接伤害不会因状态效果降低
需要校对",所谓：“玄生万物，九九归一”，九为阳之极。此法以周身真气为龙，化而御之，运功时龙吟阵阵，若听风雨，有感心应转、阴阳互生之用，故谓之曰“九龙归一”。,破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"膂力：100
体质：75","内功造诣：350
品鉴造诣：280
厨艺造诣：280",,功法/九龙归一功,high,目录外功法
杂阿含经,功法/杂阿含经,内功,,少林派,4,极·四品,6,金刚,"运用者的「混元」类功法也会被视为「金刚」类功法；运用者可在施展「金刚」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「护体」真气，增加「金刚」类摧破功法的攻击范围
消耗功法占格数*5的护体真气
攻击范围增加 (功法占格数+1)*0.5","运用者的「混元」类功法也会被视为「金刚」类功法；运用者可在施展「金刚」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「护体」真气，使该功法对敌人造成的直接伤害不会因状态效果降低
消耗功法占格数*5的护体真气",攻击范围增加 ([[功法占格数]]+1)*0.5|逆=**消耗[[功法占格数]]*5的护体真气}},护体|破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"定力：85
根骨：35
悟性：55","内功造诣：350
佛学造诣：350",,功法/杂阿含经,high,目录外功法
分威法,功法/分威法,内功,,然山派,4,极·四品,6,紫霞,运用者的「混元」类功法也会被视为「紫霞」类功法；运用者可在施展「紫霞」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「奇窍」真气，增加「紫霞」类摧破功法的攻击范围,运用者的「混元」类功法也会被视为「紫霞」类功法；运用者可在施展「紫霞」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「奇窍」真气，使该功法对敌人造成的直接伤害不会因状态效果降低,分威者，分人之威也。修炼分威法时需以意炼神，避高趋下，避实击虚，如兵无常势，水无常形，从而使志意坚固，神归其舍，动变见形，无能间者。,破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"根骨：35
悟性：140","内功造诣：350
术数造诣：280
杂学造诣：280",,功法/分威法,high,目录外功法
乙巳遗参,功法/乙巳遗参,内功,,界青门,4,极·四品,6,玄阴,运用者的「混元」类功法也会被视为「玄阴」类功法；运用者可在施展「玄阴」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，增加「玄阴」类摧破功法的攻击范围,运用者的「混元」类功法也会被视为「玄阴」类功法；运用者可在施展「玄阴」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「轻灵」真气，使该功法对敌人造成的直接伤害不会因状态效果降低,“门之所召，随类毕臻。应之所授，待感斯发。无情尚尔，况在人乎”。乙巳遗参化用自唐朝道士李淳风所著之《乙巳占》，乃察观天象而悉知人世，感应生死而化转物我之法。,破体|真气,直伤|资源,,,,内功,直伤类,inferred,medium,"根骨：65
悟性：110","内功造诣：350
术数造诣：350",,功法/乙巳遗参,high,目录外功法
入魔功,功法/入魔功,内功,,伏龙坛,3,超·三品,7,纯阳,"运用者的重创标记越多，敌人对运用者造成的直接伤害就越低
运用者每个重创标记令敌人对运用者造成直接伤害的伤害分数-3% [同源减益]","运用者的重创标记越多，运用者对敌人造成的直接直接伤害就越高
运用者每个重创标记令运用者对敌人造成直接伤害的伤害分数+3% [同源增益]",魔，即迷离者。入魔功动如阳炎，灼烧万物，功成者愈是伤残，愈是愤怒，心火炽盛，状若狂魔，将生死置之度外，故而伟力超凡。,威力,直伤|增伤|伤势联动,,,,内功,直伤类,inferred,medium,"膂力：110
体质：80","内功造诣：400
品鉴造诣：320
厨艺造诣：320",,功法/入魔功,high,目录外功法
神断护法,功法/神断护法,内功,,无门无派,2,绝·二品,8,混元,神断护法根据敌人的入魔程度大幅降低敌人的御体、御气、破体、破气,神断护法根据敌人的入魔程度大幅降低敌人的御体、御气、破体、破气,阎王烧骨，煞神断命……,破体,直伤,,,,内功,直伤类,inferred,medium,,,,功法/神断护法,high,目录外功法
万相核枢,功法/万相核枢,内功,,无门无派,1,神·一品,9,混元,相枢首次被击败时，将进入新的战斗阶段：敌人的轮回次数每比9次少1次，相枢对敌人造成的直接伤害就有极高的几率提高30%，敌人对相枢造成的直接伤害就有极高的几率降低15%,相枢首次被击败时，将进入新的战斗阶段：敌人的轮回次数每比9次少1次，相枢对敌人造成的直接伤害就有极高的几率提高30%，敌人对相枢造成的直接伤害就有极高的几率降低15%,,,直伤,,,,内功,直伤类,inferred,medium,,,,功法/万相核枢,high,目录外功法
倾国绝世,功法/倾国绝世,内功,,无门无派,1,神·一品,9,混元,衣以侯首次被击败时，将进入新的战斗阶段：只要衣以侯可用的式多于敌人可用的式，衣以侯所施展的神力对敌人造成的直接伤害就会变为3倍，且无法被反震,衣以侯首次被击败时，将进入新的战斗阶段：只要衣以侯可用的式多于敌人可用的式，衣以侯所施展的神力对敌人造成的直接伤害就会变为3倍，且无法被反震,,护体,直伤|生存|控制|式联动|反震,,,,内功,直伤类,inferred,medium,,,,功法/倾国绝世,high,目录外功法
八肱八趾,功法/八肱八趾,内功,,无门无派,1,神·一品,9,混元,血枫首次被击败时，将进入新的战斗阶段：血枫对敌人造成的所有直接伤害大幅提高；敌人对血枫造成的所有直接伤害大幅降低,血枫首次被击败时，将进入新的战斗阶段：血枫对敌人造成的所有直接伤害大幅提高；敌人对血枫造成的所有直接伤害大幅降低,,,直伤,,,,内功,直伤类,inferred,medium,,,,功法/八肱八趾,high,目录外功法
方天敕令,功法/方天敕令,内功,,无门无派,1,神·一品,9,混元,术方首次被击败时，将进入新的战斗阶段：敌人对术方造成直接伤害时，这一伤害的内伤与外伤的比例差距越大，术方就反震越多的伤害给敌人,术方首次被击败时，将进入新的战斗阶段：敌人对术方造成直接伤害时，这一伤害的内伤与外伤的比例差距越大，术方就反震越多的伤害给敌人,,护体,直伤|生存|反震,,,,内功,直伤类,inferred,medium,,,,功法/方天敕令,high,目录外功法
玄狱九老,功法/玄狱九老,内功,,无门无派,1,神·一品,9,混元,每当玄狱九老以直接伤害对敌人造成伤势或重创标记时，玄狱九老自敌人体内吸取随机类型的真气,每当玄狱九老以直接伤害对敌人造成伤势或重创标记时，玄狱九老自敌人体内吸取随机类型的真气,玄尸夺魄，地狱收魂……,真气,直伤|资源|伤势联动,,,,内功,直伤类,inferred,medium,,,,功法/玄狱九老,high,目录外功法
元始先天功,功法/元始先天功,内功,,武当派,1,神·一品,9,纯阳,战斗开始时，运用者获得相当于当前真气总数的先天罡气，敌人对运用者造成直接伤害时，敌人的攻击的内外功比例越不平均，先天罡气就能抵消其越多的直接伤害，消耗的先天罡气也会根据其内外功比例，增加运用者的提气、架势；运用者对敌人造成直接伤害时，先天罡气会稍稍恢复,战斗开始时，运用者获得相当于当前真气总数的后天罡气，运用者对敌人造成直接伤害时，运用者的攻击的内外功比例越平均，后天罡气就能增加其越多的直接伤害，消耗的后天罡气也会根据其内外功比例，减少敌人的提气、架势；敌人对运用者造成直接伤害时，后天罡气会稍稍恢复,无始者，混沌未分，乾坤未判；先天者，纯阳不变，生生不绝。元始先天功，乃于混沌内修炼纯阳本体之法，于一阳中化生天地万法之功，此功真妙无穷，若天与日，是先天之先，一炁元始，有道是：“一真返元，万神归一，真一守一，入吾神天”。,真气|恢复,直伤|资源|回复,,,,内功,直伤类,inferred,medium,"定力：100
根骨：120","内功造诣：500
道法造诣：500",,功法/元始先天功,high,目录外功法
引毒术,功法/引毒术,内功,,五仙教,9,下·九品,1,紫霞,"增加运用者的「五仙教」功法的威力上限
威力上限增加30%[加值]","降低运用者的「五仙教」功法的发挥需求
使用需求降低20%[加成]",引毒术乃是五仙弟子入门时的必修心法，修习时需将双手浸泡于毒液之中，初时以小毒，其后乃至常毒、大毒，若能引毒入体而不伤己身，则功法大成。,威力,通用,,,,内功,通用类,inferred,medium,"灵敏：25
体质：25
悟性：50","内功造诣：100
毒术造诣：100",,功法/引毒术,high,目录外功法
吐浊纳清法,功法/吐浊纳清法,内功,,元山派,9,下·九品,1,混元,"小幅增加运用者的「元山派」功法的威力上限
威力上限增加30%[加值]","降低运用者的「元山派」功法的发挥需求
使用需求降低20%[加成]",吐浊纳清法讲究“先吐后纳、吸念吐静、闭目冥心、摒杂除念”，如是修炼数次以后，便可调和诸脉，充盈丹田。,威力,通用,,,,内功,通用类,inferred,medium,"定力：45
体质：55","内功造诣：100
道法造诣：80
佛学造诣：80",,功法/吐浊纳清法,high,目录外功法
静禅功,功法/静禅功,内功,,少林派,9,下·九品,1,混元,"增加运用者的「少林派」功法的威力上限
威力上限增加30%[加值]","降低运用者的「少林派」功法的发挥需求
使用需求降低20%[加成]",“无碍清净慧，皆因禅定生”。静禅功可令修习者清静安宁，祛除心中杂思，以达到心神合一，明心见性的开悟境界。,威力,通用,,,,内功,通用类,inferred,medium,"定力：75
悟性：25","内功造诣：100
佛学造诣：100",,功法/静禅功,high,目录外功法
丹田开合功,功法/丹田开合功,内功,,峨眉派,9,下·九品,1,紫霞,"小幅增加运用者的「峨眉派」功法的威力上限
威力上限增加30%[加值]","降低运用者的「峨眉派」功法的发挥需求
使用需求降低20%[加成]",气沉下丹田，乃成混元力。丹田开合之功法，内修外炼兼而有之，是引元精经过大小周天运转而化为元气的秘诀。,威力|真气,通用,,,,内功,通用类,inferred,medium,"定力：50
根骨：50","内功造诣：100
道法造诣：80
佛学造诣：80",,功法/丹田开合功,high,目录外功法
金刚四加行法,功法/金刚四加行法,内功,,无量金刚宗,9,下·九品,1,金刚,"增加运用者的「金刚宗」功法的威力上限
威力上限增加30%[加值]","降低运用者的「金刚宗」功法的发挥需求
使用需求降低20%[加成]",加行，即入正道前勉力修行。金刚四加行法分为暖、顶、忍、世四法，修习者发虔诚心，修方便道，便可斩断烦恼，得四善根。,威力,通用,,,,内功,通用类,inferred,medium,"定力：45
体质：55","内功造诣：100
佛学造诣：100",,功法/金刚四加行法,high,门派标准化：金刚宗 -> 无量金刚宗；目录外功法
